日期,销量,利润
2014/12/11,2553.2,3540
2014/12/10,2511.3,3090
2014/12/9,2710.3,2190
2014/12/8,2468.1,1800
2014/12/7,3041.5,900
2014/12/6,3178.9,1260
2014/12/5,2594.4,420
2014/12/4,2381.1,1350
2014/12/3,2415,420
2014/12/2,2236.4,3150
2014/11/30,3207.2,1350
2014/11/29,3059.5,2250
2014/11/28,3039.1,900
2014/11/26,2817.5,840
2014/11/25,2891.8,840
2014/11/24,2470.1,1350
2014/11/23,3556.6,1260
2014/11/22,3397.7,2700
2014/11/20,2761.6,420
2014/11/19,2618.2,900
2014/11/18,2758.3,1290
2014/11/17,2614.3,420
2014/11/16,3437.1,1710
2014/11/15,3250,1290
2014/11/14,3063.7,2610
2014/11/13,2839.2,840
2014/11/12,2360.9,450
2014/11/11,2158.5,420
2014/11/10,2005.5,420
2014/11/9,3236.4,870
2014/11/8,22,1800
2014/11/7,2452.6,1740
2014/11/6,2265,1350
2014/11/5,2566.1,450
2014/11/4,2527.2,420
2014/11/3,2326.5,2326.5
2014/11/2,2941.9,2941.9
2014/11/1,60,60
2014/10/31,2520.9,2520.9
2014/10/30,2446.2,2446.2
2014/10/29,2549.4,2549.4
2014/10/28,2449.3,2449.3
2014/10/27,2162.5,2162.5
2014/10/26,2781.3,2781.3
2014/10/25,3060.6,3060.6
2014/10/24,2064,2064
2014/10/22,2439.7,2439.7
2014/10/21,2476.2,2476.2
2014/10/20,2478.3,2478.3
2014/10/19,2826.2,2826.2
2014/10/18,2924.8,2924.8
2014/10/17,2417.5,2417.5
2014/10/16,2450.1,2450.1
2014/10/15,2533,2533
2014/10/14,2238.7,2238.7
2014/10/13,2388.8,2388.8
2014/10/12,3291.3,3291.3
2014/10/11,2738.8,2738.8
2014/10/10,2344.1,2344.1
2014/10/9,2068.8,2068.8
2014/10/8,3185.3,3185.3
2014/10/7,2778.6,2778.6
2014/10/6,2921.1,2921.1
2014/10/5,2524.3,2524.3
2014/10/4,3057.1,3057.1
2014/10/3,3039.6,3039.6
2014/10/2,3193.4,3193.4
2014/10/1,3075.4,3075.4
2014/9/30,2847.6,2847.6
2014/9/29,2311.4,2311.4
2014/9/28,2327.3,2327.3
2014/9/27,9106.44,9106.44
2014/9/26,2616.6,2616.6
2014/9/25,2620.2,2620.2
2014/9/24,2616.4,2616.4
2014/9/23,2655.8,2655.8
2014/9/22,2310.7,2310.7
2014/9/21,2935.8,2935.8
2014/9/20,3017.9,3017.9
2014/9/19,2625.5,2625.5
2014/9/18,2752.7,2752.7
2014/9/17,2181.5,2181.5
2014/9/16,2440.5,2440.5
2014/9/15,2422.8,2422.8
2014/9/14,2583.6,2583.6
2014/9/13,2728.9,2728.9
2014/9/12,2525.3,2525.3
2014/9/11,2531.7,2531.7
2014/9/10,2300.5,2300.5
2014/9/9,2097.5,2097.5
2014/9/8,4065.2,4065.2
2014/9/7,3555.2,3555.2
2014/9/6,3462.5,3462.5
2014/9/5,3033.1,3033.1
2014/9/4,2926.1,2926.1
2014/9/3,2431.4,2431.4
2014/9/2,2706,2706
2014/9/1,3049.9,3049.9
2014/8/31,3494.7,3494.7
2014/8/30,3691.9,3691.9
2014/8/29,2929.5,2929.5
2014/8/28,2760.6,2760.6
2014/8/27,2593.7,2593.7
2014/8/26,2884.4,2884.4
2014/8/25,2591.3,2591.3
2014/8/24,3022.6,3022.6
2014/8/23,3052.1,3052.1
2014/8/22,2789.2,2789.2
2014/8/21,2909.8,2909.8
2014/8/20,2326.8,2326.8
2014/8/19,2453.1,2453.1
2014/8/18,2351.2,2351.2
2014/8/17,3279.1,3279.1
2014/8/16,3381.9,3381.9
2014/8/15,2988.1,2988.1
2014/8/14,2577.7,2577.7
2014/8/13,2332.3,2332.3
2014/8/12,2518.6,2518.6
2014/8/11,2697.5,2697.5
2014/8/10,3244.7,3244.7
2014/8/9,3346.7,3346.7
2014/8/8,2900.6,2900.6
2014/8/7,2759.1,2759.1
2014/8/6,2915.8,2915.8
2014/8/5,2618.1,2618.1
2014/8/4,2993,2993
2014/8/3,3436.4,3436.4
2014/8/2,2261.7,2261.7
